,character,freq,meaning,on,kun,nanori
898,衡,1847,"['equilibrium', 'measuring rod', 'scale']",['コウ'],[],['ひら']
899,講,653,"['lecture', 'club', 'association']",['コウ'],[],[]
900,貢,956,"['tribute', 'support', 'finance']","['コウ', 'ク']",['みつ.ぐ'],[]
901,購,945,"['subscription', 'buy']",['コウ'],[],[]
902,郊,1304,"['outskirts', 'suburbs', 'rural area']",['コウ'],[],[]
903,酵,1862,['fermentation'],['コウ'],[],[]
904,鉱,1376,"['mineral', 'ore']",['コウ'],['あらがね'],[]
905,砿,,['ore'],['コウ'],['あらがね'],[]
906,鋼,1246,['steel'],['コウ'],['はがね'],[]
907,閤,,['small side gate'],['コウ'],['くぐりど'],[]
908,降,596,"['descend', 'precipitate', 'fall', 'surrender']","['コウ', 'ゴ']","['お.りる', 'お.ろす', 'ふ.る', 'ふ.り', 'くだ.る', 'くだ.す']","['ふり', 'ふる']"
909,項,884,"['paragraph', 'nape of neck', 'clause', 'item', 'term (expression)']",['コウ'],['うなじ'],[]
910,香,859,"['incense', 'smell', 'perfume']","['コウ', 'キョウ']","['か', 'かお.り', 'かお.る']","['こ', 'こお', 'ひゃん', 'よし']"
911,高,65,"['tall', 'high', 'expensive']",['コウ'],"['たか.い', 'たか', '-だか', 'たか.まる', 'たか.める']","['か', 'こ', 'じょい', 'た', 'はか']"
912,鴻,2111,"['large bird', 'wild goose', 'large', 'great', 'powerful', 'prosperous']","['コウ', 'ゴウ']","['おおとり', 'ひしくい', 'おおがり']",[]
913,剛,1576,"['sturdy', 'strength']",['ゴウ'],[],"['かた', 'こう', 'ご', 'たか', 'たけ', 'たけし', 'つよ', 'つよし', 'ひさ', 'まさ', 'よし']"
914,劫,,"['threat', 'long ages']","['コウ', 'ゴウ', 'キョウ']",['おびや.かす'],[]
915,号,585,"['nickname', 'number', 'item', 'title', 'pseudonym', 'name', 'call']",['ゴウ'],"['さけ.ぶ', 'よびな']",[]
916,合,41,"['fit', 'suit', 'join', '0.1']","['ゴウ', 'ガッ', 'カッ']","['あ.う', '-あ.う', 'あ.い', 'あい-', '-あ.い', '-あい', 'あ.わす', 'あ.わせる', '-あ.わせる']","['あう', 'あん', 'い', 'か', 'こう', 'ごお', 'に', 'ね', 'や', 'り', 'わい']"
917,壕,2273,"['trench', 'dugout', 'air raid shelter']","['コウ', 'ゴウ']",['ほり'],[]
918,拷,2057,"['torture', 'beat']",['ゴウ'],[],[]
919,濠,,"['moat', 'ditch', 'canal', 'Australia']","['ゴウ', 'コウ']",['ほり'],[]
920,豪,1104,"['overpowering', 'great', 'powerful', 'excelling', 'Australia']",['ゴウ'],['えら.い'],"['こう', 'ご', 'すぐる', 'たけ', 'たけし', 'ひで', 'まさる']"
921,轟,2438,"['roar', 'thunder', 'boom resound']","['ゴウ', 'コウ']","['とどろ.かす', 'とどろ.く']",[]
922,麹,1988,"['malt', 'yeast']",['キク'],['こうじ'],[]
923,克,1333,"['overcome', 'kindly', 'skillfully']",['コク'],['か.つ'],"['かつ', 'まさる', 'よし']"
924,刻,866,"['engrave', 'cut fine', 'chop', 'hash', 'mince', 'time', 'carving']",['コク'],"['きざ.む', 'きざ.み']",[]
925,告,188,"['revelation', 'tell', 'inform', 'announce']",['コク'],['つ.げる'],['い']
926,国,3,['country'],['コク'],['くに'],"['くな', 'こ']"
927,穀,1744,"['cereals', 'grain']",['コク'],[],['たけ']
928,酷,1596,"['cruel', 'severe', 'atrocious', 'unjust']",['コク'],['ひど.い'],[]
929,鵠,2292,['swan'],"['コク', 'コウ']","['くぐい', 'まと']",[]
930,黒,573,['black'],['コク'],"['くろ', 'くろ.ずむ', 'くろ.い']",[]
931,獄,1529,"['prison', 'jail']",['ゴク'],[],[]
932,漉,,"['manufacture paper', 'spread out thin', 'strain', 'percolate']",['ロク'],"['こ.し', 'こ.す', 'す.く']",[]
933,腰,1306,"['loins', 'hips', 'waist', 'low wainscoting']",['ヨウ'],['こし'],['うすぐ']
934,甑,,['rice-steaming pot'],"['ソウ', 'ショウ']",['こしき'],[]
935,忽,,"['in a moment', 'instantly', 'all of a sudden', 'neglect', 'disregard']",['コツ'],"['たちま.ち', 'ゆるが.せ']",['ぬ']
936,惚,2486,"['fall in love with', 'admire', 'grow senile']",['コツ'],"['ほけ.る', 'ぼ.ける', 'ほ.れる']",[]
937,骨,936,"['skeleton', 'bone', 'remains', 'frame']",['コツ'],['ほね'],[]
938,狛,2196,"['archaic part of Korea', 'lion-dog shrine guards']",['ハク'],['こま'],[]
939,込,675,"['crowded', 'mixture', 'in bulk', 'included', '(kokuji)']",[],"['-こ.む', 'こ.む', 'こ.み', '-こ.み', 'こ.める']","['こみ', 'ごめ']"
940,此,2078,"['this', 'current', 'next', 'coming', 'last', 'past']",['シ'],"['これ', 'この', 'ここ']",[]
941,頃,2015,"['time', 'about', 'toward']","['ケイ', 'キョウ']","['ころ', 'ごろ', 'しばら.く']",['ころも']
942,今,49,['now'],"['コン', 'キン']",['いま'],['な']
943,困,843,"['quandary', 'become distressed', 'annoyed']",['コン'],['こま.る'],[]
944,坤,,"['divination sign', 'land', 'earth']",['コン'],"['つち', 'ひつじさる']",[]
945,墾,,"['ground-breaking', 'open up farmland']",['コン'],[],[]
946,婚,767,['marriage'],['コン'],[],[]
947,恨,1877,"['regret', 'bear a grudge', 'resentment', 'malice', 'hatred']",['コン'],"['うら.む', 'うら.めしい']",[]
948,懇,1135,"['sociable', 'kind', 'courteous', 'hospitable', 'cordial']",['コン'],['ねんご.ろ'],[]
949,昏,,"['dark', 'evening', 'dusk']",['コン'],"['くら.い', 'くれ']",[]
950,昆,1688,"['descendants', 'elder brother', 'insect']",['コン'],[],[]
951,根,620,"['root', 'radical', 'head (pimple)']",['コン'],"['ね', '-ね']",[]
952,梱,,"['pack', 'tie up', 'bale']",['コン'],"['こう.る', 'こうり', 'こり', 'しきみ']",[]
953,混,824,"['mix', 'blend', 'confuse']",['コン'],"['ま.じる', '-ま.じり', 'ま.ざる', 'ま.ぜる', 'こ.む']",[]
954,痕,1958,"['mark', 'foot print']",['コン'],['あと'],[]
955,紺,1825,"['dark blue', 'navy']",['コン'],[],[]
956,艮,,"['northeast (Oriental zodiac)', 'stopping', 'good radical (no. 138)']","['コン', 'ゴン']",['うしとら'],[]
957,魂,1748,"['soul', 'spirit']",['コン'],"['たましい', 'たま']",[]
958,些,,"['a little bit', 'sometimes']","['サ', 'シャ']","['ち.と', 'ち.っと', 'いささか']",[]
959,佐,474,"['assistant', 'help']",['サ'],[],['すけ']
960,叉,,"['fork in road', 'crotch']","['サ', 'シャ', 'サイ']",['また'],[]
961,唆,1278,"['tempt', 'seduce', 'instigate', 'promote']",['サ'],"['そそ.る', 'そそのか.す']",[]
962,嵯,2191,"['steep', 'craggy', 'rugged']","['サ', 'シ']",[],[]
963,左,630,['left'],"['サ', 'シャ']",['ひだり'],['そ']
964,差,449,"['distinction', 'difference', 'variation', 'discrepancy', 'margin', 'balance']",['サ'],"['さ.す', 'さ.し']",[]
965,査,184,['investigate'],['サ'],[],[]
966,沙,1897,['sand'],"['サ', 'シャ']","['すな', 'よなげる']",[]
967,瑳,,"['polish', 'brilliant white luster of a gem', 'artful smile']",['サ'],['みが.く'],[]
968,砂,1146,['sand'],"['サ', 'シャ']",['すな'],"['いさ', 'ご']"
969,詐,1511,"['lie', 'falsehood', 'deceive', 'pretend']",['サ'],['いつわ.る'],[]
970,鎖,1250,"['chain', 'irons', 'connection']",['サ'],"['くさり', 'とざ.す']",[]
971,裟,,['Buddhist surplice'],"['サ', 'シャ']",[],[]
972,坐,2337,['sit'],"['ザ', 'サ']","['すわ.る', 'おわす', 'そぞろに', 'まします']",[]
973,座,588,"['squat', 'seat', 'cushion', 'gathering', 'sit']",['ザ'],['すわ.る'],[]
974,挫,1869,"['crush', 'break', 'sprain', 'discourage']","['ザ', 'サ']","['くじ.く', 'くじ.ける']",[]
975,債,728,"['bond', 'loan', 'debt']",['サイ'],[],[]
976,催,536,"['sponsor', 'hold (a meeting)', 'give (a dinner)']",['サイ'],"['もよう.す', 'もよお.す']",[]
977,再,275,"['again', 'twice', 'second time']","['サイ', 'サ']",['ふたた.び'],['ふた']
978,最,82,"['utmost', 'most', 'extreme']","['サイ', 'シュ']","['もっと.も', 'つま']",['も']
979,哉,,"['how', 'what', 'alas', 'question mark', 'exclamation mark']",['サイ'],"['かな', 'や']","['か', 'すけ', 'とし', 'ちか', 'はじめ']"
980,塞,,"['close', 'shut', 'cover', 'block', 'obstruct']","['ソク', 'サイ']","['ふさ.ぐ', 'とりで', 'み.ちる']",[]
981,妻,691,"['wife', 'spouse']",['サイ'],['つま'],"['ずま', 'め']"
982,宰,1597,"['superintend', 'manager', 'rule']",['サイ'],[],['ただ']
983,彩,1251,"['coloring', 'paint', 'makeup']",['サイ'],['いろど.る'],"['あや', 'さ', 'さえ', 'つや']"
984,才,1497,"['genius', 'years old', 'cubic shaku']",['サイ'],[],[]
985,採,607,"['pick', 'take', 'fetch', 'take up']",['サイ'],['と.る'],[]
986,栽,1496,"['plantation', 'planting']",['サイ'],[],[]
987,歳,269,"['year-end', 'age', 'occasion', 'opportunity']","['サイ', 'セイ']","['とし', 'とせ', 'よわい']",[]
988,済,168,"['finish', 'come to an end', 'excusable', 'need not']","['サイ', 'セイ']","['す.む', '-ず.み', '-ずみ', 'す.まない', 'す.ます', '-す.ます', 'すく.う', 'な.す', 'わたし', 'わた.る']","['すむ', 'なり', 'わたる']"
989,災,976,"['disaster', 'calamity', 'woe', 'curse', 'evil']",['サイ'],['わざわ.い'],[]
990,采,,"['dice', 'form', 'appearance', 'take', 'gather', 'coloring']",['サイ'],"['と.る', 'いろどり']",[]
991,犀,2426,['rhinocerous'],"['サイ', 'セイ']",[],[]
992,砕,1579,"['smash', 'break', 'crush', 'familiar', 'popular']",['サイ'],"['くだ.く', 'くだ.ける']",[]
993,砦,2304,"['fort', 'stronghold', 'entrenchments']",['サイ'],['とりで'],[]
994,祭,1124,"['ritual', 'offer prayers', 'celebrate', 'deify', 'enshrine', 'worship']",['サイ'],"['まつ.る', 'まつ.り', 'まつり']",[]
995,斎,1155,"['purification', 'Buddhist food', 'room', 'worship', 'avoid', 'alike']",['サイ'],"['とき', 'つつし.む', 'ものいみ', 'い.む', 'いわ.う', 'いつ.く']","['いつき', 'さえ', 'ひとし', 'いつ', 'きよ', 'ただ', 'とき', 'よし']"
996,細,537,"['dainty', 'get thin', 'taper', 'slender', 'narrow', 'detailed', 'precise']",['サイ'],"['ほそ.い', 'ほそ.る', 'こま.か', 'こま.かい']",[]
997,菜,1327,"['vegetable', 'side dish', 'greens']",['サイ'],['な'],['よう']
998,裁,297,"['tailor', 'judge', 'decision', 'cut out (pattern)']",['サイ'],"['た.つ', 'さば.く']",[]
999,載,825,"['ride', 'board', 'get on', 'place', 'spread', '10**44', 'record', 'publish']",['サイ'],"['の.せる', 'の.る']","['とし', 'のり']"
1000,際,183,"['occasion', 'side', 'edge', 'verge', 'dangerous', 'adventurous', 'indecent', 'time', 'when']",['サイ'],"['きわ', '-ぎわ']",['わ']
1001,剤,1151,"['dose', 'medicine', 'drug']","['ザイ', 'スイ', 'セイ']","['かる', 'けず.る']",[]
1002,在,211,"['exist', 'outskirts', 'suburbs', 'located in']",['ザイ'],['あ.る'],['あり']
1003,材,565,"['lumber', 'log', 'timber', 'wood', 'materials', 'ingredients', 'talent']",['ザイ'],[],"['き', 'さい']"
1004,罪,732,"['guilt', 'sin', 'crime', 'fault', 'blame', 'offense']",['ザイ'],['つみ'],[]
1005,財,494,"['property', 'money', 'wealth', 'assets']","['ザイ', 'サイ', 'ゾク']",['たから'],[]
1006,冴,2341,"['be clear', 'serene', 'cold', 'skilful']","['ゴ', 'コ']","['さ.える', 'こお.る', 'ひ.える']","['さえ', 'さえる']"
1007,坂,865,"['slope', 'incline', 'hill']",['ハン'],['さか'],"['か', 'ざ']"
1008,阪,503,"['heights', 'slope']",['ハン'],['さか'],[]
1009,堺,1846,['world'],['カイ'],['さかい'],[]
1010,榊,2094,"['sacred Shinto tree', '(kokuji)']",[],['さかき'],[]
1011,肴,,['accompaniment for drinks'],['コウ'],['さかな'],[]
1012,咲,1534,"['blossom', 'bloom']",['ショウ'],"['さ.く', '-ざき']","['さ', 'さき']"
1013,崎,533,"['promontory', 'cape', 'spit']",['キ'],"['さき', 'さい', 'みさき']",[]
1014,埼,971,"['cape', 'spit', 'promontory']",['キ'],"['さき', 'さい', 'みさき']",[]
1015,碕,,"['cape', 'spit', 'promontory']",['キ'],"['さき', 'さい', 'みさき']",[]
1016,鷺,2172,['heron'],['ロ'],['さぎ'],[]
1017,作,103,"['make', 'production', 'prepare', 'build']","['サク', 'サ']","['つく.る', 'つく.り', '-づく.り']","['くり', 'さか', 'さっ', 'づくり', 'とも', 'なお', 'はぎ', 'まさか']"
1018,削,814,"['plane', 'sharpen', 'whittle', 'pare', 'shave']",['サク'],"['けず.る', 'はつ.る', 'そ.ぐ']",['げ']
1019,咋,,"['shout', 'chew', 'eat']","['サク', 'サ']","['か.む', 'く.う', 'くら.う']",['くい']
1020,搾,2046,['squeeze'],['サク'],['しぼ.る'],[]
1021,昨,226,"['yesterday', 'previous']",['サク'],[],[]
1022,朔,2318,"['conjunction (astronomy)', 'first day of month', 'north']",['サク'],['ついたち'],['たち']
1023,柵,,"['stockade', 'fence', 'weir', 'entwine around']","['サク', 'サン']","['しがら.む', 'しがらみ', 'とりで', 'やらい']","['ませ', 'やな']"
1024,窄,,"['narrow', 'fold', 'furl', 'shrug', 'pucker', 'shut', 'close']",['サク'],"['すぼ.める', 'つぼ.める', 'せま.い']",[]
1025,策,209,"['scheme', 'plan', 'policy', 'step', 'means']",['サク'],[],[]
1026,索,1127,"['cord', 'rope', 'searching', 'inquiring']",['サク'],[],[]
1027,錯,1740,"['confused', 'mix', 'be in disorder']","['サク', 'シャク']",[],[]
1028,桜,1237,['cherry'],"['オウ', 'ヨウ']",['さくら'],"['さ', 'ろう']"
1029,鮭,2477,['salmon'],"['カイ', 'ケイ']","['さけ', 'しゃけ', 'ふぐ']",[]
1030,笹,1743,"['bamboo grass', '(kokuji)']",[],['ささ'],"['さ', 'さき', 'しの', 'じね']"
1031,匙,,['spoon'],['シ'],['さじ'],[]
1032,冊,1313,"['tome', 'counter for books', 'volume']","['サツ', 'サク']",['ふみ'],[]
1033,刷,1352,"['printing', 'print', 'brush']",['サツ'],"['す.る', '-ず.り', '-ずり', 'は.く']",[]
1034,察,477,"['guess', 'presume', 'surmise', 'judge', 'understand']",['サツ'],[],[]
1035,拶,,"['be imminent', 'draw close']",['サツ'],['せま.る'],[]
1036,撮,1023,"['snapshot', 'take pictures']",['サツ'],"['と.る', 'つま.む', '-ど.り']",[]
1037,擦,1485,"['grate', 'rub', 'scratch', 'scrape', 'chafe', 'scour']",['サツ'],"['す.る', 'す.れる', '-ず.れ', 'こす.る', 'こす.れる']",[]
1038,札,921,"['tag', 'paper money', 'counter for bonds', 'placard', 'bid']",['サツ'],['ふだ'],['さっ']
1039,殺,581,"['kill', 'murder', 'butcher', 'slice off', 'split', 'diminish', 'reduce', 'spoil']","['サツ', 'サイ', 'セツ']","['ころ.す', '-ごろ.し', 'そ.ぐ']",[]
1040,薩,1984,['Buddha'],"['サツ', 'サチ']",[],['さっ']
1041,雑,839,['miscellaneous'],"['ザツ', 'ゾウ']","['まじ.える', 'まじ.る']",[]
1042,皐,2240,"['swamp', 'shore']",['コウ'],['さつき'],['たかし']
1043,鯖,,['mackerel'],"['セイ', 'ショウ']",['さば'],[]
1044,捌,,"['handle', 'deal with', 'dispose of', 'sell', 'be in demand', 'be worldly', 'be frank', 'be sensible', 'be sociable', 'drainage', 'sale', 'demand for', 'eight']","['ハツ', 'ハチ', 'ベツ']","['さば.く', 'さば.ける', 'は.け']",[]
1045,錆,,['tarnish'],"['ショウ', 'セイ']","['さび', 'くわ.しい']",[]
1046,鮫,2244,['shark'],['コウ'],"['さめ', 'みずち']",[]
1047,皿,1812,"['dish', 'a helping', 'plate']",['ベイ'],['さら'],[]
1048,晒,,"['bleach', 'refine', 'expose', 'air']","['サイ', 'シ']","['さら.す', 'さらし']",[]
1049,三,14,['three'],"['サン', 'ゾウ']","['み', 'み.つ', 'みっ.つ']","['か', 'さ', 'さい', 'さえ', 'さぶ', 'ざ', 'ざえ', 'ざぶ', 'そう', 'ぞ', 'ただ', 'みつ', 'みん', 'も', 'や']"
1050,傘,1694,['umbrella'],['サン'],['かさ'],[]
1051,参,201,"['nonplussed', 'three (in documents)', 'going', 'coming', 'visiting', 'visit', 'be defeated', 'die', 'be madly in love', 'participate', 'take part in']","['サン', 'シン']","['まい.る', 'まい-', 'まじわる', 'みつ']",['み']
1052,山,131,['mountain'],"['サン', 'セン']",['やま'],"['さ', 'やの', 'やん']"
1053,惨,1463,"['wretched', 'disaster', 'cruelty', 'harsh']","['サン', 'ザン']","['みじ.め', 'いた.む', 'むご.い']",[]
1054,撒,,"['scatter', 'sprinkle', 'give them the slip']","['サン', 'サツ']",['ま.く'],[]
1055,散,758,"['scatter', 'disperse', 'spend', 'squander']",['サン'],"['ち.る', 'ち.らす', '-ち.らす', 'ち.らかす', 'ち.らかる', 'ち.らばる', 'ばら', 'ばら.ける']",['ちる']
1056,桟,2093,"['scaffold', 'cleat', 'frame', 'jetty', 'bolt (door)']","['サン', 'セン']",['かけはし'],['さ']
1057,燦,,['brilliant'],['サン'],"['さん.たる', 'あき.らか', 'きらめ.く', 'きら.めく']",[]
1058,珊,,"['coral', 'centimeter']",['サン'],"['センチ', 'さんち']",[]
1059,産,161,"['products', 'bear', 'give birth', 'yield', 'childbirth', 'native', 'property']",['サン'],"['う.む', 'う.まれる', 'うぶ-', 'む.す']",['もと']
1060,算,361,"['calculate', 'divining', 'number', 'abacus', 'probability']",['サン'],['そろ'],[]
1061,纂,,"['editing', 'compiling']",['サン'],['あつ.める'],[]
1062,蚕,2272,['silkworm'],"['サン', 'テン']","['かいこ', 'こ']",[]
1063,讃,2179,"['praise', 'title on a picture']",['サン'],"['ほ.める', 'たた.える']",['さぬ']
1064,賛,868,"['approve', 'praise', 'title or inscription on picture', 'assist', 'agree with']",['サン'],"['たす.ける', 'たた.える']",[]
1065,酸,1218,"['acid', 'bitterness', 'sour', 'tart']",['サン'],['す.い'],[]
1066,餐,,"['eat', 'drink', 'swallow']","['サン', 'ソン']","['の.む', 'くら.う']",[]
1067,斬,2132,"['beheading', 'kill', 'murder']","['ザン', 'サン', 'セン', 'ゼン']",['き.る'],[]
1068,暫,1112,"['temporarily', 'a while', 'moment', 'long time']",['ザン'],['しばら.く'],[]
1069,残,380,"['remainder', 'leftover', 'balance']","['ザン', 'サン']","['のこ.る', 'のこ.す', 'そこな.う', 'のこ.り']",[]
1070,仕,439,"['attend', 'doing', 'official', 'serve']","['シ', 'ジ']",['つか.える'],[]
1071,仔,,"['offspring (animal)', 'detailed', 'fine']",['シ'],"['こ', 'た.える']",[]
1072,伺,2209,"['pay respects', 'visit', 'ask', 'inquire', 'question', 'implore']",['シ'],['うかが.う'],[]
1073,使,219,"['use', 'send on a mission', 'order', 'messenger', 'envoy', 'ambassador', 'cause']",['シ'],"['つか.う', 'つか.い', '-つか.い', '-づか.い']",[]
1074,刺,1031,"['thorn', 'pierce', 'stab', 'prick', 'sting', 'calling card']",['シ'],"['さ.す', 'さ.さる', 'さ.し', 'さし', 'とげ']",[]
1075,司,759,"['director', 'official', 'govt office', 'rule', 'administer']",['シ'],['つかさど.る'],"['つ', 'つか', 'つかさ']"
1076,史,511,"['history', 'chronicle']",['シ'],[],"['あきら', 'あや', 'お', 'こ', 'ちか', 'とし', 'なか', 'のぶ', 'ひさ', 'ひと', 'ふみ']"
1077,嗣,2310,"['heir', 'succeed']",['シ'],[],"['あき', 'つかさ', 'つぎ', 'つぐ', 'ひで']"
1078,四,47,['four'],['シ'],"['よ', 'よ.つ', 'よっ.つ', 'よん']","['あ', 'つ', 'よつ']"
1079,士,526,"['gentleman', 'samurai', 'samurai radical (no. 33)']",['シ'],['さむらい'],"['お', 'ま']"
1080,始,244,"['commence', 'begin']",['シ'],"['はじ.める', '-はじ.める', 'はじ.まる']",['もと']
1081,姉,1473,['elder sister'],['シ'],"['あね', 'はは']",[]
1082,姿,441,"['figure', 'form', 'shape']",['シ'],['すがた'],['しな']
1083,子,72,"['child', 'sign of the rat', '11PM-1AM', 'first sign of Chinese zodiac']","['シ', 'ス', 'ツ']","['こ', '-こ', 'ね']","['い', 'き', 'ぎ', 'く', 'け', 'ねっ']"
1084,屍,,['corpse'],['シ'],['しかばね'],[]
1085,市,42,"['market', 'city', 'town']",['シ'],['いち'],"['い', 'ち']"
1086,師,563,"['expert', 'teacher', 'master', 'model', 'exemplar', 'army (incl. counter)', 'war']",['シ'],['いくさ'],"['のし', 'のり', 'もろ', 'かず', 'つかさ', 'みつ', 'もと']"
1087,志,823,"['intention', 'plan', 'resolve', 'aspire', 'motive', 'hopes', 'shilling']",['シ'],"['シリング', 'こころざ.す', 'こころざし']","['じん', 'べ', 'べし', 'ゆき']"
1088,思,132,['think'],['シ'],"['おも.う', 'おもえら.く', 'おぼ.す']",[]
1089,指,155,"['finger', 'point to', 'indicate', 'put into', 'play (chess)', 'measure (ruler)']",['シ'],"['ゆび', 'さ.す', '-さ.し']","['い', 'いぶ', 'さし', 'さす']"
1090,支,159,"['branch', 'support', 'sustain', 'branch radical (no. 65)']",['シ'],"['ささ.える', 'つか.える', 'か.う']",[]
1091,孜,1457,['industriousness'],['シ'],['つと.める'],[]
1092,斯,,"['this', 'thus', 'such', 'verbal pause']",['シ'],"['か', 'こう', 'か.く', 'この', 'これ', 'ここに']",[]
1093,施,323,"['give', 'bestow', 'perform', 'alms']","['シ', 'セ']",['ほどこ.す'],[]
1094,旨,1166,"['delicious', 'relish', 'show a liking for', 'purport', 'will', 'clever', 'expert']",['シ'],"['むね', 'うま.い']",[]
1095,枝,1401,"['bough', 'branch', 'twig', 'limb', 'counter for branches']",['シ'],['えだ'],"['え', 'ぐさ']"
1096,止,310,"['stop', 'halt']",['シ'],"['と.まる', '-ど.まり', 'と.める', '-と.める', '-ど.め', 'とど.める', 'とど.め', 'とど.まる', 'や.める', 'や.む', '-や.む', 'よ.す', '-さ.す', '-さ.し']",['どめ']
1097,死,229,"['death', 'die']",['シ'],"['し.ぬ', 'し.に-']",[]
1098,氏,84,"['family name', 'surname', 'clan']",['シ'],"['うじ', '-うじ']",[]
1099,獅,1914,['lion'],['シ'],['しし'],[]
1100,祉,1063,"['welfare', 'happiness']",['シ'],[],[]
1101,私,242,"['private', 'I', 'me']",['シ'],"['わたくし', 'わたし']",[]
1102,糸,1488,['thread'],['シ'],['いと'],[]
1103,紙,559,['paper'],['シ'],['かみ'],[]
1104,紫,1516,"['purple', 'violet']",['シ'],['むらさき'],"['さい', 'ゆかり']"
1105,肢,2289,"['limb', 'arms & legs']",['シ'],[],[]
1106,脂,1548,"['fat', 'grease', 'tallow', 'lard', 'rosin', 'gum', 'tar']",['シ'],['あぶら'],[]
1107,至,996,"['climax', 'arrive', 'proceed', 'reach', 'attain', 'result in']",['シ'],['いた.る'],"['のぶ', 'のり', 'みち', 'よし']"
1108,視,362,"['inspection', 'regard as', 'see', 'look at']",['シ'],['み.る'],"['とも', 'み']"
1109,詞,1636,"['part of speech', 'words', 'poetry']",['シ'],[],[]
1110,詩,1196,"['poem', 'poetry']",['シ'],['うた'],[]
1111,試,392,"['test', 'try', 'attempt', 'experiment', 'ordeal']",['シ'],"['こころ.みる', 'ため.す']",[]
1112,誌,851,"['document', 'records']",['シ'],[],[]
1113,諮,1345,['consult with'],['シ'],['はか.る'],[]
1114,資,179,"['assets', 'resources', 'capital', 'funds', 'data', 'be conducive to', 'contribute to']",['シ'],[],"['すけ', 'もと']"
1115,賜,2190,"['grant', 'gift', 'boon', 'results']",['シ'],"['たまわ.る', 'たま.う', 'たも.う']",[]
1116,雌,1951,"['feminine', 'female']",['シ'],"['め-', 'めす', 'めん']",[]
1117,飼,1392,"['domesticate', 'raise', 'keep', 'feed']",['シ'],['か.う'],['かい']
1118,歯,1106,"['tooth', 'cog']",['シ'],"['よわい', 'は', 'よわ.い', 'よわい.する']",[]
1119,事,18,"['matter', 'thing', 'fact', 'business', 'reason', 'possibly']","['ジ', 'ズ']","['こと', 'つか.う', 'つか.える']",['ろ']
1120,似,923,"['becoming', 'resemble', 'counterfeit', 'imitate', 'suitable']",['ジ'],"['に.る', 'ひ.る']",['にた']
1121,侍,1939,"['waiter', 'samurai', 'wait upon', 'serve']","['ジ', 'シ']","['さむらい', 'はべ.る']",['かみ']
1122,児,679,"['newborn babe', 'child', 'young of animals']","['ジ', 'ニ', 'ゲイ']","['こ', '-こ', '-っこ']",['る']
1123,字,485,"['character', 'letter', 'word', 'section of village']",['ジ'],"['あざ', 'あざな', '-な']",[]
1124,寺,879,['Buddhist temple'],['ジ'],['てら'],[]
1125,慈,1811,['mercy'],['ジ'],['いつく.しむ'],"['しげ', 'ちか', 'めぐみ', 'よし']"
1126,持,119,"['hold', 'have']",['ジ'],"['も.つ', '-も.ち', 'も.てる']","['もち', 'もつ']"
1127,時,16,"['time', 'hour']",['ジ'],"['とき', '-どき']","['と', 'とぎ']"
1128,次,222,"['next', 'order', 'sequence']","['ジ', 'シ']","['つ.ぐ', 'つぎ']","['き', 'すき', 'つぐ', 'よし']"
1129,滋,1563,"['nourishing', 'more & more', 'be luxuriant', 'planting', 'turbidity']",['ジ'],[],"['し', 'しげ', 'しげる']"
1130,治,109,"['reign', 'be at peace', 'calm down', 'subdue', 'quell', 'govt', 'cure', 'heal', 'rule', 'conserve']","['ジ', 'チ']","['おさ.める', 'おさ.まる', 'なお.る', 'なお.す']","['し', 'ぢ', 'はり', 'はる', 'みち']"
1131,爾,,"['you', 'thou', 'second person']","['ジ', 'ニ']","['なんじ', 'しかり', 'その', 'のみ', 'おれ', 'しか']","['ちか', 'み']"
1132,璽,,"[""emperor's seal""]",['ジ'],[],[]
1133,痔,,"['piles', 'hemorrhoids']","['ヂ', 'ジ']",['しもがさ'],[]
1134,磁,1686,"['magnet', 'porcelain']",['ジ'],[],[]
1135,示,237,"['show', 'indicate', 'point out', 'express', 'display']","['ジ', 'シ']",['しめ.す'],[]
1136,而,,"['and yet', 'and then', 'but', 'however', 'nevertheless']","['ジ', 'ニ']","['しこ.うして', 'しか.して', 'しか.も', 'しか.れども', 'すなわち', 'なんじ', 'しかるに']",[]
1137,耳,1328,['ear'],['ジ'],['みみ'],['がみ']
1138,自,19,['oneself'],"['ジ', 'シ']","['みずか.ら', 'おの.ずから', 'おの.ずと']",['より']
1139,蒔,2368,['sow (seeds)'],"['シ', 'ジ']","['う.える', 'ま.く']","['まい', 'まか', 'まき']"
1140,辞,633,"['resign', 'word', 'term', 'expression']",['ジ'],"['や.める', 'いな.む']",[]
1141,汐,2314,"['eventide', 'tide', 'salt water', 'opportunity']",['セキ'],"['しお', 'うしお', 'せい']",['いそ']
1142,鹿,957,['deer'],['ロク'],"['しか', 'か']",['しし']
1143,式,251,"['style', 'ceremony', 'rite', 'function', 'method', 'system', 'form', 'expression']",['シキ'],[],['のり']
1144,識,496,"['discriminating', 'know', 'write']",['シキ'],"['し.る', 'しる.す']","['さと', 'さとる']"
1145,鴫,,"['snipe', '(kokuji)']",[],['しぎ'],[]
1146,竺,,['bamboo'],"['ジク', 'チク', 'トク']",[],['あつし']
1147,軸,1261,"['axis', 'pivot', 'stem', 'stalk', 'counter for book scrolls']",['ジク'],[],[]
1148,宍,2269,"['muscles', 'meat']","['ニク', 'ジク']",['しし'],"['し', 'しん']"
